	Province/State	Country/Region	Lat	Long	Date	Confirmed	Deaths	Recovered	Month-Year	Confirmed Daily	Deaths Daily	Recovered Daily	Hubei vs Rest of the world
0	All	Afghanistan	33.0	65.0	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
1	All	Albania	41.1533	20.1683	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
2	All	Algeria	28.0339	1.6596	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
3	All	Andorra	42.5063	1.5218	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
4	All	Angola	-11.2027	17.8739	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
5	All	Antigua and Barbuda	17.0608	-61.7964	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
6	All	Argentina	-38.4161	-63.6167	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
7	All	Armenia	40.0691	45.0382	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
8	Australian Capital Territory	Australia	-35.4735	149.0124	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
9	New South Wales	Australia	-33.8688	151.2093	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
10	Northern Territory	Australia	-12.4634	130.8456	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
11	Queensland	Australia	-28.0167	153.4	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
12	South Australia	Australia	-34.9285	138.6007	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
13	Tasmania	Australia	-41.4545	145.9707	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
14	Victoria	Australia	-37.8136	144.9631	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
15	Western Australia	Australia	-31.9505	115.8605	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
16	All	Austria	47.5162	14.5501	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
17	All	Azerbaijan	40.1431	47.5769	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
18	All	Bahamas	25.0343	-77.3963	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
19	All	Bahrain	26.0275	50.55	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
20	All	Bangladesh	23.685	90.3563	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
21	All	Barbados	13.1939	-59.5432	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
22	All	Belarus	53.7098	27.9534	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
23	All	Belgium	50.8333	4.0	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
24	All	Benin	9.3077	2.3158	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
25	All	Bhutan	27.5142	90.4336	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
26	All	Bolivia	-16.2902	-63.5887	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
27	All	Bosnia and Herzegovina	43.9159	17.6791	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
28	All	Brazil	-14.235	-51.9253	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
29	All	Brunei	4.5353	114.7277	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
30	All	Bulgaria	42.7339	25.4858	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
31	All	Burkina Faso	12.2383	-1.5616	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
32	All	Cabo Verde	16.5388	-23.0418	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
33	All	Cambodia	11.55	104.9167	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
34	All	Cameroon	3.848	11.5021	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
35	Alberta	Canada	53.9333	-116.5765	2020-01-22	0.0	0.0		Jan-2020	0.0	0.0		Rest of the world
36	British Columbia	Canada	49.2827	-123.1207	2020-01-22	0.0	0.0		Jan-2020	0.0	0.0		Rest of the world
37	Grand Princess	Canada	37.6489	-122.6655	2020-01-22	0.0	0.0		Jan-2020	0.0	0.0		Rest of the world
38	Manitoba	Canada	53.7609	-98.8139	2020-01-22	0.0	0.0		Jan-2020	0.0	0.0		Rest of the world
39	New Brunswick	Canada	46.5653	-66.4619	2020-01-22	0.0	0.0		Jan-2020	0.0	0.0		Rest of the world
40	Newfoundland and Labrador	Canada	53.1355	-57.6604	2020-01-22	0.0	0.0		Jan-2020	0.0	0.0		Rest of the world
41	Nova Scotia	Canada	44.682	-63.7443	2020-01-22	0.0	0.0		Jan-2020	0.0	0.0		Rest of the world
42	Ontario	Canada	51.2538	-85.3232	2020-01-22	0.0	0.0		Jan-2020	0.0	0.0		Rest of the world
43	Prince Edward Island	Canada	46.5107	-63.4168	2020-01-22	0.0	0.0		Jan-2020	0.0	0.0		Rest of the world
44	Quebec	Canada	52.9399	-73.5491	2020-01-22	0.0	0.0		Jan-2020	0.0	0.0		Rest of the world
45	Saskatchewan	Canada	52.9399	-106.4509	2020-01-22	0.0	0.0		Jan-2020	0.0	0.0		Rest of the world
46	All	Central African Republic	6.6111	20.9394	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
47	All	Chad	15.4542	18.7322	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
48	All	Chile	-35.6751	-71.543	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
49	Anhui	China	31.8257	117.2264	2020-01-22	1.0	0.0	0.0	Jan-2020	1.0	0.0	0.0	Rest of the world
50	Beijing	China	40.1824	116.4142	2020-01-22	14.0	0.0	0.0	Jan-2020	14.0	0.0	0.0	Rest of the world
51	Chongqing	China	30.0572	107.874	2020-01-22	6.0	0.0	0.0	Jan-2020	6.0	0.0	0.0	Rest of the world
52	Fujian	China	26.0789	117.9874	2020-01-22	1.0	0.0	0.0	Jan-2020	1.0	0.0	0.0	Rest of the world
53	Gansu	China	37.8099	101.0583	2020-01-22	0.0	0.0	0.0	Jan-2020	0.0	0.0	0.0	Rest of the world
54	Guangdong	China	23.3417	113.4244	2020-01-22	26.0	0.0	0.0	Jan-2020	26.0	0.0	0.0	Rest of the world
